token,token_tag
یک,F
تکه,F
قلع,N
نیست,F
روش,C
نوار,N
هم,N
هست,F
,
خدایی,N
اصلا,N
کارو,C
آسون,C
نکردن,C
,
که,N
در,N
این,N
دنیای,N
غم,N
بار,N
رهسپارم,C
,
وقتی,N
من,N
حمام,F
بودم,N
فهمیدم,N
که,N
تو,N
خانه‌ای,F
,
ستوان,N
لزلی,N
فرماندهی,N
را,F
به,N
عهده,N
دارد,F
,
همینطور,N
کنار,N
خط,N
مقدم,N
بروید,F
جلو,N
تازمانی‌که,N
به,N
یورکی‌ها,F
برسید,F
,
واحدهای,F
نه,N
و,N
ده,N
آماده,N
بشید,C
,
زودباش,N
برو,N
دیگر,F
از,N
کنارش,N
که,N
می‌توانی,F
رد,N
بشوی,F
,
بیدار,N
شو,N
کیلگور,N
بی,N
مصرف,N
آشغال,N
,
اره,N
لازم,N
نیس,C
بهم,C
بگی,C
,
ولی,N
بعضی,N
ها,F
فقط,N
درگیری,N
رو,C
میخوان,C
,
ببین,N
مدال,N
فقط,N
یه,C
تیکه,C
قلعه,C
,
هتل,N
اورلوک,N
کارهای,F
بیشتری,N
برای,F
انجام,N
دادن,N
داشت,F
,
و,N
اگر,F
بتونه,C
خط,N
جدیدشون,C
را,F
درهم,N
بشکند,F
می‌تواند,F
نتیجه,N
جنگ,N
را,F
تغییر,N
بده,N
,
یعنی,F
ما,N
نمی‌توانیم,F
یک,F
شب,N
با,N
مادرت,N
تنها,N
باشیم؟,N
,
اون,C
حرومزاده,C
کوچولو,C
رو,C
ببین,N
,
سرهنگ,N
مکنزی,N
هنوز,N
عکسهای,F
هوایی,N
جبهه,N
جدید,N
دشمن,N
رو,C
ندیده,N
,
من,N
قرار,N
نیست,F
کم,N
بیاورم,F
و,N
بخاطر,N
کتاب,N
بمیرم,N
,
می‌روم,F
به,N
اردن,N
,
آن,F
دستور,N
دارد,F
خیلی,N
خب,N
باشد,F
,
دست,F
هفت,N
یک‌دقیقه,N
,
که,N
در,N
این,N
دنیای,N
غم‌بار,N
رهسپارم,C
,
من,N
و,N
مادرت,N
می‌توانیم,F
یک,F
شب,N
برای,F
خودمان,F
برویم,F
بیرون؟,N
,
مثلاً,N
قرار,N
بود,N
آن,F
سروان,N
بوفوی,N
باشد؟,F
,
به,N
اینکه,N
دارمون,C
بزنی,N
,
بعد,N
کس,N
دیگری,F
جواب,N
داده؟,N
,
دست,F
بجنبونید,C
پسرا,C
یه,C
دونه,C
توی,C
پاش,C
خورده,N
,
چه,F
هست؟,F
گوشت,N
سگ,N
آلمانی,N
,
وگرنه,N
تمام,F
زندگیش,N
را,F
با,N
این,N
فکر,F
سپری,N
می‌کند,F
که,N
تو,N
کجایی,N
,
دارم,N
بهت,C
میگم,C
سیمو,C
بکش,N
نه,N
روبرتو,C
,
باید,N
صبر,F
کنی,N
تا,N
موج,N
اول,N
حمله,N
تموم,C
بشه,C
,
خیلی,N
خب,N
زودباشین,C
بچه,N
ها,F
زود,N
باشین,C
زودباشین,C
بچه,N
ها,F
,
سه‌ساله,C
داریم,N
سرش,N
می‌جنگیم,N
,
اونی,C
که,N
خودت,N
تاحالا,N
شروع,N
کردی,N
,
فکر,F
کنم,N
تو,N
باید,N
دکتری,N
یا,N
چیزی,N
ببینی,N
,
مزه,N
گه,N
می‌دهد,F
خوب,N
هست,F
کس,N
خل,N
,
این,N
عوضی,N
گروهبان,N
مون,C
را,F
نقش,N
زمین,N
کرد,N
آن,F
بدبخت,N
مجروح,N
هست,F
,
فقط,N
این,N
نامه,N
را,F
بخوانید,F
,
باید,N
خودم,N
را,F
به,N
گردان,N
دوم,N
دوونز,N
برسانم,F
که,N
تازه,N
از,N
اکو,N
است,F
رد,N
شدن,C
,
پل,N
سقوط,N
کرده,N
اوه,N
چه,N
بد,N
,
متنفر,N
بودم,N
از,N
برگشتن,C
به,N
خونه,C
متنفر,N
بودم,N
,
حالا,N
قرار,N
هست,F
چه,N
اتفاقی,N
بیافتد,F
گروهبان؟,N
,
آره,C
ما,N
دی,N
کمپانی,N
هستیم,F
شب,N
رو,C
گشت,N
زدیم,N
,
یک,F
شرط,N
گذاشتیم,N
امروز,N
چه,N
روزیه؟,C
,
دیروز,N
صبح,F
خبر,N
داد,N
و,N
گفت,F
قرار,N
هست,F
به,N
آلمانی‌هایی,F
که,N
در,N
حال,N
عقب‌نشینی,N
هستند,F
حمله,N
کند,F
,
سرجوخه,N
بلیک,N
شجاعت,N
کم‌نظیری,N
در,N
نجات,N
,
با,N
صدای,N
اولین,N
سوت,N
پیشروی,N
می‌کنیم,N
,
اگر,F
اینکار,N
را,F
نکنین,C
قتل‌عام,N
رخ,N
می‌دهد,F
,
ما,N
دو,N
نفر,N
بودیم,N
من,N
با,N
برادر,N
ایشان,F
فرستاده,N
شده,N
بودم,N
این,N
جا,N
,
پوششی,N
هست,F
قربان؟,N
جایی,N
که,N
بشود,F
از,N
او,F
حمله,N
کرد؟,N
,
شایدم,C
گیلاس,N
دوک,N
باشه,C
وقتی,N
هنوز,N
میوه,N
نداده,C
تشخیص,N
نوعش,N
سخته,C
,
گردان,N
دوم,N
قرار,N
هست,F
فردا,N
اندکی,N
بعد,N
از,N
سپیده,N
دم,N
به,N
آن,F
خط,N
حمله,N
کند,F
,
قبل,N
از,N
اینکه,N
متولد,N
بشه,C
من,N
اینجا,N
بودم,N
,
فکر,F
نمیکنم,N
اونقدرا,C
هم,N
گرسنه,N
باشی,N
,
سیم,N
خاردارهای,F
ما,N
داغون,N
هستن,C
ولی,N
یه,C
جورایی,C
از,N
لاشون,C
یه,C
راهی,N
هست,F
,
اوه,N
بازم,C
مانع,N
این,N
دفعه,F
دیگه,C
چیه؟,C
نگو,N
بازم,C
یه,C
درخت,N
لعنتیه,C
,
یک,F
برادر,N
داری؟,N
یک,F
ستوان,N
درون,N
جنگ,N
دوونز,N
دوم؟,N
,
درون,N
آن,F
سرزمین,N
درخشانی,N
که,N
دارم,N
بسمتش,C
می‌روم,F
,
بوی,N
خیلی,N
خوبی,N
داشته,N
مثل,F
شیره,N
,
به,N
نظر,N
متروکه,N
می‌آید,F
بیا,N
امیدوار,N
باشیم,N
,
تو,N
بهش,C
مدیونی,N
که,N
حداقل,N
سعیت,N
رو,C
بکنی,N
و,N
از,N
اینجا,N
بری,C
بیرون,N
,
در,N
این,N
امید,N
بودم,N
که,N
امروز,N
بالاخره,N
همه,N
چی,N
تموم,C
میشه,C
,
درون,N
نقشه,N
نوشته,N
اگر,F
از,N
آن,F
تپه,N
بگذریم,N
یک,F
مسیر,N
باز,N
به,N
اکو,N
است,F
می‌بینیم,N
,
جیک,N
بوگندو,C
توی,C
ارس,N
یادت,N
میاد؟,C
,
نقشه,N
چراغ‌قوه,N
نارنجک,N
و,N
چندتا,F
آذوقه,N
کوچک,F
,
گر,F
جهنم,N
یا,N
عرش,N
اعلا,N
میروی,F
آنکه,F
تنها,N
میرود,F
زودتر,N
رسد,F
,
نمیدونستم,C
برای,F
چی,N
دارم,N
انتخابت,N
میکنم,N
